week,match,league,pick,market,correct,confidence,actual_total,actual_bucket,first_corner,exp_corners,reason
2020-09-07/2020-09-13,Cadiz vs Osasuna,La_Liga,≤8 corners,total_low,True,22.5,8,≤8,H,0.0,"exp 0.0 corners (home gen 0.0, away gen 0.0)"
2020-09-14/2020-09-20,Bayern Munich vs Schalke 04,Bundesliga,≤8 corners,total_low,False,22.5,11,9-11,H,0.0,"exp 0.0 corners (home gen 0.0, away gen 0.0)"
2020-09-21/2020-09-27,Milan vs Bologna,Serie_A,≤8 corners,total_low,False,22.5,11,9-11,H,0.0,"exp 0.0 corners (home gen 0.0, away gen 0.0)"
2020-09-28/2020-10-04,Bologna vs Parma,Serie_A,≤8 corners,total_low,False,22.5,17,12+,A,0.0,"exp 0.0 corners (home gen 0.0, away gen 0.0)"
2020-10-12/2020-10-18,Augsburg vs RB Leipzig,Bundesliga,≤8 corners,total_low,False,10.5,13,12+,A,4.0,"exp 4.0 corners (home gen 3.0, away gen 1.0)"
2020-10-19/2020-10-25,Verona vs Genoa,Serie_A,≤8 corners,total_low,False,15.0,16,12+,H,2.5,"exp 2.5 corners (home gen 0.5, away gen 2.0)"
2020-10-26/2020-11-01,Leverkusen vs Augsburg,Bundesliga,≤8 corners,total_low,True,6.0,6,≤8,D,5.5,"exp 5.5 corners (home gen 4.0, away gen 1.5)"
2020-11-02/2020-11-08,Elche vs Celta,La_Liga,≤8 corners,total_low,True,12.3,6,≤8,D,3.4,"exp 3.4 corners (home gen 0.7, away gen 2.8)"
2020-11-16/2020-11-22,Hertha vs Dortmund,Bundesliga,12+ corners,total_high,False,9.5,7,≤8,H,15.7,"exp 15.7 corners (home gen 6.0, away gen 9.7)"
2020-11-23/2020-11-29,Elche vs Cadiz,La_Liga,First corner: Away,first_away,True,5.7,10,9-11,A,5.8,away generates 79% of expected corners
2020-11-30/2020-12-06,Ein Frankfurt vs Dortmund,Bundesliga,12+ corners,total_high,False,8.2,11,9-11,H,15.2,"exp 15.2 corners (home gen 7.2, away gen 8.0)"
2020-12-07/2020-12-13,Elche vs Granada,La_Liga,≤8 corners,total_low,False,14.7,11,9-11,H,2.6,"exp 2.6 corners (home gen 1.2, away gen 1.4)"
2020-12-14/2020-12-20,Bielefeld vs Augsburg,Bundesliga,≤8 corners,total_low,True,9.3,4,≤8,A,4.4,"exp 4.4 corners (home gen 2.4, away gen 2.0)"
2020-12-21/2020-12-27,Crotone vs Parma,Serie_A,≤8 corners,total_low,False,11.1,9,9-11,A,3.8,"exp 3.8 corners (home gen 2.2, away gen 1.6)"
2020-12-28/2021-01-03,Eibar vs Granada,La_Liga,First corner: Home,first_home,True,6.0,6,≤8,H,7.0,home generates 80% of expected corners
2021-01-04/2021-01-10,Bielefeld vs Hertha,Bundesliga,≤8 corners,total_low,False,9.9,11,9-11,H,4.2,"exp 4.2 corners (home gen 1.2, away gen 3.0)"
2021-01-11/2021-01-17,Werder Bremen vs Augsburg,Bundesliga,≤8 corners,total_low,True,6.3,8,≤8,D,5.4,"exp 5.4 corners (home gen 2.8, away gen 2.6)"
2021-01-18/2021-01-24,Osasuna vs Granada,La_Liga,≤8 corners,total_low,True,8.7,6,≤8,A,4.6,"exp 4.6 corners (home gen 3.0, away gen 1.6)"
2021-01-25/2021-01-31,Sampdoria vs Juventus,Serie_A,12+ corners,total_high,True,8.1,12,12+,A,15.2,"exp 15.2 corners (home gen 8.2, away gen 7.0)"
2021-02-01/2021-02-07,Mainz vs Union Berlin,Bundesliga,≤8 corners,total_low,True,5.1,4,≤8,H,5.8,"exp 5.8 corners (home gen 3.0, away gen 2.8)"
2021-02-08/2021-02-14,Celta vs Elche,La_Liga,First corner: Away,first_away,True,5.5,9,9-11,A,6.2,away generates 77% of expected corners
2021-02-15/2021-02-21,Bayern Munich vs Bielefeld,Bundesliga,12+ corners,total_high,False,8.1,7,≤8,H,15.2,"exp 15.2 corners (home gen 10.2, away gen 5.0)"
2021-02-22/2021-02-28,Sampdoria vs Atalanta,Serie_A,12+ corners,total_high,False,8.1,11,9-11,A,15.2,"exp 15.2 corners (home gen 8.0, away gen 7.2)"
2021-03-01/2021-03-07,Freiburg vs RB Leipzig,Bundesliga,First corner: Away,first_away,True,4.9,3,≤8,A,8.6,away generates 74% of expected corners
2021-03-08/2021-03-14,Genoa vs Udinese,Serie_A,≤8 corners,total_low,False,6.9,9,9-11,H,5.2,"exp 5.2 corners (home gen 2.6, away gen 2.6)"
2021-03-15/2021-03-21,Freiburg vs Augsburg,Bundesliga,≤8 corners,total_low,True,8.1,8,≤8,A,4.8,"exp 4.8 corners (home gen 2.2, away gen 2.6)"
2021-03-29/2021-04-04,Sassuolo vs Roma,Serie_A,12+ corners,total_high,False,5.7,7,≤8,A,14.4,"exp 14.4 corners (home gen 6.4, away gen 8.0)"
2021-04-05/2021-04-11,Schalke 04 vs Augsburg,Bundesliga,≤8 corners,total_low,False,6.9,10,9-11,A,5.2,"exp 5.2 corners (home gen 2.4, away gen 2.8)"
2021-04-12/2021-04-18,Dortmund vs Werder Bremen,Bundesliga,First corner: Home,first_home,True,6.5,11,9-11,H,8.0,home generates 82% of expected corners
2021-04-19/2021-04-25,Union Berlin vs Werder Bremen,Bundesliga,≤8 corners,total_low,False,6.9,13,12+,H,5.2,"exp 5.2 corners (home gen 3.2, away gen 2.0)"
2021-04-26/2021-05-02,Celta vs Levante,La_Liga,≤8 corners,total_low,True,7.5,6,≤8,A,5.0,"exp 5.0 corners (home gen 2.4, away gen 2.6)"
2021-05-03/2021-05-09,Cadiz vs Huesca,La_Liga,≤8 corners,total_low,True,5.1,6,≤8,D,5.8,"exp 5.8 corners (home gen 3.6, away gen 2.2)"
2021-05-10/2021-05-16,Celta vs Getafe,La_Liga,≤8 corners,total_low,True,7.5,6,≤8,A,5.0,"exp 5.0 corners (home gen 2.0, away gen 3.0)"
2021-05-17/2021-05-23,Celta vs Betis,La_Liga,≤8 corners,total_low,False,6.9,12,12+,H,5.2,"exp 5.2 corners (home gen 2.0, away gen 3.2)"
2021-08-09/2021-08-15,Brentford vs Arsenal,EPL,≤8 corners,total_low,True,22.5,7,≤8,A,0.0,"exp 0.0 corners (home gen 0.0, away gen 0.0)"
2021-08-16/2021-08-22,Arsenal vs Chelsea,EPL,≤8 corners,total_low,False,22.5,17,12+,H,0.0,"exp 0.0 corners (home gen 0.0, away gen 0.0)"
2021-08-23/2021-08-29,West Ham vs Leicester,EPL,≤8 corners,total_low,False,22.5,10,9-11,H,0.0,"exp 0.0 corners (home gen 0.0, away gen 0.0)"
2021-09-06/2021-09-12,Leeds vs Liverpool,EPL,12+ corners,total_high,True,19.5,13,12+,A,19.0,"exp 19.0 corners (home gen 8.0, away gen 11.0)"
2021-09-13/2021-09-19,Venezia vs Spezia,Serie_A,≤8 corners,total_low,False,11.1,13,12+,A,3.8,"exp 3.8 corners (home gen 0.0, away gen 3.8)"
2021-09-20/2021-09-26,Brentford vs Liverpool,EPL,First corner: Away,first_away,True,7.6,13,12+,A,12.5,away generates 88% of expected corners
2021-09-27/2021-10-03,Liverpool vs Man City,EPL,12+ corners,total_high,False,24.5,7,≤8,A,20.7,"exp 20.7 corners (home gen 10.0, away gen 10.7)"
2021-10-11/2021-10-17,Watford vs Liverpool,EPL,12+ corners,total_high,False,8.5,10,9-11,A,15.3,"exp 15.3 corners (home gen 4.3, away gen 11.0)"
2021-10-18/2021-10-24,Man United vs Liverpool,EPL,12+ corners,total_high,False,14.2,9,9-11,H,17.2,"exp 17.2 corners (home gen 6.8, away gen 10.5)"
2021-10-25/2021-10-31,Alaves vs Elche,La_Liga,≤8 corners,total_low,False,6.9,11,9-11,A,5.2,"exp 5.2 corners (home gen 2.6, away gen 2.6)"
2021-11-01/2021-11-07,Man United vs Man City,EPL,12+ corners,total_high,False,7.5,10,9-11,A,15.0,"exp 15.0 corners (home gen 6.6, away gen 8.4)"
2021-11-15/2021-11-21,Barcelona vs Espanol,La_Liga,12+ corners,total_high,False,10.5,8,≤8,D,16.0,"exp 16.0 corners (home gen 9.6, away gen 6.4)"
2021-11-22/2021-11-28,Man City vs West Ham,EPL,12+ corners,total_high,True,5.1,12,12+,H,14.2,"exp 14.2 corners (home gen 8.4, away gen 5.8)"
2021-11-29/2021-12-05,Verona vs Cagliari,Serie_A,≤8 corners,total_low,False,7.5,12,12+,H,5.0,"exp 5.0 corners (home gen 2.4, away gen 2.6)"
2021-12-06/2021-12-12,Venezia vs Juventus,Serie_A,≤8 corners,total_low,False,5.1,14,12+,A,5.8,"exp 5.8 corners (home gen 2.8, away gen 3.0)"
2021-12-13/2021-12-19,Chelsea vs Everton,EPL,First corner: Home,first_home,True,6.4,8,≤8,H,11.2,home generates 82% of expected corners
2021-12-20/2021-12-26,Venezia vs Lazio,Serie_A,≤8 corners,total_low,True,8.1,8,≤8,D,4.8,"exp 4.8 corners (home gen 3.0, away gen 1.8)"
2021-12-27/2022-01-02,Chelsea vs Liverpool,EPL,12+ corners,total_high,True,15.3,13,12+,A,17.6,"exp 17.6 corners (home gen 10.2, away gen 7.4)"
2022-01-03/2022-01-09,Inter vs Lazio,Serie_A,First corner: Home,first_home,True,6.1,7,≤8,H,9.2,home generates 80% of expected corners
2022-01-10/2022-01-16,Man City vs Chelsea,EPL,12+ corners,total_high,False,8.7,10,9-11,H,15.4,"exp 15.4 corners (home gen 9.8, away gen 5.6)"
2022-01-17/2022-01-23,Hoffenheim vs Dortmund,Bundesliga,12+ corners,total_high,False,11.1,10,9-11,H,16.2,"exp 16.2 corners (home gen 7.4, away gen 8.8)"
2022-01-31/2022-02-06,Roma vs Genoa,Serie_A,First corner: Home,first_home,True,6.0,10,9-11,H,8.0,home generates 80% of expected corners
2022-02-07/2022-02-13,Napoli vs Inter,Serie_A,12+ corners,total_high,False,12.9,6,≤8,H,16.8,"exp 16.8 corners (home gen 9.8, away gen 7.0)"
2022-02-14/2022-02-20,Man City vs Tottenham,EPL,12+ corners,total_high,False,9.9,10,9-11,H,15.8,"exp 15.8 corners (home gen 10.4, away gen 5.4)"
2022-02-21/2022-02-27,Ein Frankfurt vs Bayern Munich,Bundesliga,12+ corners,total_high,False,9.3,10,9-11,A,15.6,"exp 15.6 corners (home gen 7.8, away gen 7.8)"
2022-02-28/2022-03-06,Man City vs Man United,EPL,12+ corners,total_high,True,10.5,12,12+,H,16.0,"exp 16.0 corners (home gen 9.6, away gen 6.4)"
2022-03-07/2022-03-13,Hoffenheim vs Bayern Munich,Bundesliga,12+ corners,total_high,False,14.7,11,9-11,A,17.4,"exp 17.4 corners (home gen 9.2, away gen 8.2)"
2022-03-14/2022-03-20,Arsenal vs Liverpool,EPL,12+ corners,total_high,False,8.1,7,≤8,A,15.2,"exp 15.2 corners (home gen 7.6, away gen 7.6)"
2022-03-28/2022-04-03,Freiburg vs Bayern Munich,Bundesliga,12+ corners,total_high,False,9.9,7,≤8,A,15.8,"exp 15.8 corners (home gen 6.6, away gen 9.2)"
2022-04-04/2022-04-10,Man City vs Liverpool,EPL,12+ corners,total_high,False,12.3,5,≤8,H,16.6,"exp 16.6 corners (home gen 10.2, away gen 6.4)"
2022-04-11/2022-04-17,Union Berlin vs Ein Frankfurt,Bundesliga,First corner: Away,first_away,False,5.7,7,≤8,H,8.4,away generates 79% of expected corners
2022-04-18/2022-04-24,Hertha vs Stuttgart,Bundesliga,≤8 corners,total_low,False,8.1,10,9-11,A,4.8,"exp 4.8 corners (home gen 2.6, away gen 2.2)"
2022-04-25/2022-05-01,Southampton vs Crystal Palace,EPL,12+ corners,total_high,True,6.9,13,12+,A,14.8,"exp 14.8 corners (home gen 9.0, away gen 5.8)"
2022-05-02/2022-05-08,RB Leipzig vs Augsburg,Bundesliga,≤8 corners,total_low,True,6.9,6,≤8,H,5.2,"exp 5.2 corners (home gen 3.2, away gen 2.0)"
2022-05-09/2022-05-15,Mallorca vs Vallecano,La_Liga,First corner: Away,first_away,False,5.2,8,≤8,H,8.4,away generates 76% of expected corners
2022-05-16/2022-05-22,Inter vs Sampdoria,Serie_A,First corner: Home,first_home,True,5.4,10,9-11,H,11.4,home generates 77% of expected corners
2022-08-01/2022-08-07,Newcastle vs Nott'm Forest,EPL,≤8 corners,total_low,False,11.7,12,12+,H,3.6,"exp 3.6 corners (home gen 3.6, away gen 0.0)"
2022-08-08/2022-08-14,Monza vs Torino,Serie_A,≤8 corners,total_low,False,12.3,9,9-11,A,3.4,"exp 3.4 corners (home gen 0.0, away gen 3.4)"
2022-08-15/2022-08-21,Atalanta vs Milan,Serie_A,12+ corners,total_high,False,14.1,10,9-11,A,17.2,"exp 17.2 corners (home gen 10.6, away gen 6.6)"
2022-08-22/2022-08-28,Girona vs Getafe,La_Liga,≤8 corners,total_low,True,16.5,7,≤8,H,2.0,"exp 2.0 corners (home gen 0.0, away gen 2.0)"
2022-08-29/2022-09-04,Man City vs Nott'm Forest,EPL,First corner: Home,first_home,True,7.3,11,9-11,H,11.3,home generates 87% of expected corners
2022-09-05/2022-09-11,Atalanta vs Cremonese,Serie_A,12+ corners,total_high,False,5.5,6,≤8,D,14.3,"exp 14.3 corners (home gen 9.0, away gen 5.3)"
2022-09-12/2022-09-18,Roma vs Atalanta,Serie_A,12+ corners,total_high,False,7.5,6,≤8,H,15.0,"exp 15.0 corners (home gen 9.8, away gen 5.2)"
2022-09-26/2022-10-02,Inter vs Roma,Serie_A,12+ corners,total_high,False,5.7,6,≤8,H,14.4,"exp 14.4 corners (home gen 9.0, away gen 5.4)"
2022-10-03/2022-10-09,Arsenal vs Liverpool,EPL,12+ corners,total_high,False,7.5,7,≤8,H,15.0,"exp 15.0 corners (home gen 8.4, away gen 6.6)"
2022-10-10/2022-10-16,Vallecano vs Getafe,La_Liga,First corner: Home,first_home,True,6.5,5,≤8,H,10.4,home generates 83% of expected corners
2022-10-17/2022-10-23,Liverpool vs West Ham,EPL,12+ corners,total_high,False,9.9,11,9-11,H,15.8,"exp 15.8 corners (home gen 7.8, away gen 8.0)"
2022-10-24/2022-10-30,Celta vs Getafe,La_Liga,≤8 corners,total_low,False,9.9,10,9-11,H,4.2,"exp 4.2 corners (home gen 2.6, away gen 1.6)"
2022-10-31/2022-11-06,Elche vs Getafe,La_Liga,First corner: Home,first_home,True,7.0,8,≤8,H,6.6,home generates 85% of expected corners
2022-11-07/2022-11-13,Wolfsburg vs Dortmund,Bundesliga,12+ corners,total_high,True,9.9,15,12+,A,15.8,"exp 15.8 corners (home gen 7.8, away gen 8.0)"
2022-12-26/2023-01-01,Arsenal vs West Ham,EPL,12+ corners,total_high,True,11.1,12,12+,H,16.2,"exp 16.2 corners (home gen 7.4, away gen 8.8)"
2023-01-02/2023-01-08,Leeds vs West Ham,EPL,12+ corners,total_high,False,6.3,9,9-11,H,14.6,"exp 14.6 corners (home gen 5.4, away gen 9.2)"
2023-01-09/2023-01-15,Nott'm Forest vs Leicester,EPL,≤8 corners,total_low,True,9.3,8,≤8,A,4.4,"exp 4.4 corners (home gen 1.6, away gen 2.8)"
2023-01-16/2023-01-22,Man City vs Tottenham,EPL,12+ corners,total_high,False,7.5,11,9-11,H,15.0,"exp 15.0 corners (home gen 8.4, away gen 6.6)"
2023-01-23/2023-01-29,Fulham vs Tottenham,EPL,12+ corners,total_high,False,7.5,11,9-11,A,15.0,"exp 15.0 corners (home gen 8.2, away gen 6.8)"
2023-01-30/2023-02-05,Ath Bilbao vs Cadiz,La_Liga,First corner: Home,first_home,False,6.6,3,≤8,A,11.6,home generates 83% of expected corners
2023-02-06/2023-02-12,Hoffenheim vs Leverkusen,Bundesliga,First corner: Home,first_home,False,5.4,13,12+,A,7.8,home generates 77% of expected corners
2023-02-13/2023-02-19,Nott'm Forest vs Man City,EPL,≤8 corners,total_low,False,6.9,10,9-11,A,5.2,"exp 5.2 corners (home gen 1.6, away gen 3.6)"
2023-02-20/2023-02-26,Werder Bremen vs Bochum,Bundesliga,≤8 corners,total_low,True,5.1,2,≤8,H,5.8,"exp 5.8 corners (home gen 2.6, away gen 3.2)"
2023-02-27/2023-03-05,Nott'm Forest vs Everton,EPL,≤8 corners,total_low,True,8.1,6,≤8,D,4.8,"exp 4.8 corners (home gen 1.0, away gen 3.8)"
2023-03-06/2023-03-12,Werder Bremen vs Leverkusen,Bundesliga,≤8 corners,total_low,True,5.7,5,≤8,A,5.6,"exp 5.6 corners (home gen 2.4, away gen 3.2)"
2023-03-13/2023-03-19,Nott'm Forest vs Newcastle,EPL,First corner: Away,first_away,True,6.7,10,9-11,A,8.4,away generates 83% of expected corners
2023-03-27/2023-04-02,Nott'm Forest vs Wolves,EPL,≤8 corners,total_low,True,6.9,7,≤8,H,5.2,"exp 5.2 corners (home gen 1.8, away gen 3.4)"
2023-04-03/2023-04-09,Valencia vs Vallecano,La_Liga,12+ corners,total_high,True,8.1,16,12+,H,15.2,"exp 15.2 corners (home gen 9.0, away gen 6.2)"
2023-04-10/2023-04-16,West Ham vs Arsenal,EPL,12+ corners,total_high,False,8.1,9,9-11,H,15.2,"exp 15.2 corners (home gen 8.4, away gen 6.8)"
2023-04-17/2023-04-23,Empoli vs Inter,Serie_A,12+ corners,total_high,False,9.3,9,9-11,H,15.6,"exp 15.6 corners (home gen 6.0, away gen 9.6)"
2023-04-24/2023-04-30,Ein Frankfurt vs Augsburg,Bundesliga,12+ corners,total_high,True,7.5,12,12+,A,15.0,"exp 15.0 corners (home gen 8.0, away gen 7.0)"
2023-05-01/2023-05-07,Atalanta vs Juventus,Serie_A,12+ corners,total_high,False,10.5,10,9-11,H,16.0,"exp 16.0 corners (home gen 9.2, away gen 6.8)"
2023-05-08/2023-05-14,Bayern Munich vs Schalke 04,Bundesliga,12+ corners,total_high,False,12.9,7,≤8,H,16.8,"exp 16.8 corners (home gen 11.0, away gen 5.8)"
