week,match,league,pick,actual_ht,actual_ft,ht_correct,ht_score,confidence,pin_prob_h,pin_prob_a,h_ht_lead,a_ht_lead,reason
2020-09-21/2020-09-27,Eibar vs Ath Bilbao,La_Liga,D,A,A,False,0-1,9.5,0.31,0.36,0.0,0.0,"tight match ph=31%/pa=36%, HT draw rate: home 100% away 100%"
2020-09-28/2020-10-04,RB Leipzig vs Schalke 04,Bundesliga,H,H,H,True,3-0,9.8,0.76,0.08,1.0,0.0,"ph=76%, home HT lead rate 100% at home"
2020-10-12/2020-10-18,Roma vs Benevento,Serie_A,H,H,H,True,2-1,8.2,0.73,0.1,1.0,0.0,"ph=73%, home HT lead rate 100% at home"
2020-10-19/2020-10-25,Dortmund vs Schalke 04,Bundesliga,H,D,H,False,0-0,10.2,0.79,0.07,1.0,0.0,"ph=79%, home HT lead rate 100% at home"
2020-10-26/2020-11-01,FC Koln vs Bayern Munich,Bundesliga,A,A,A,True,0-2,10.4,0.07,0.81,0.0,0.5,"pa=81%, away HT lead rate 50% away"
2020-11-02/2020-11-08,RB Leipzig vs Freiburg,Bundesliga,H,H,H,True,1-0,7.0,0.72,0.1,0.67,0.33,"ph=72%, home HT lead rate 67% at home"
2020-11-16/2020-11-22,Bayern Munich vs Werder Bremen,Bundesliga,H,A,D,False,0-1,9.6,0.86,0.05,1.0,0.33,"ph=86%, home HT lead rate 100% at home"
2020-11-23/2020-11-29,RB Leipzig vs Bielefeld,Bundesliga,H,H,H,True,1-0,10.1,0.79,0.07,0.75,0.0,"ph=79%, home HT lead rate 75% at home"
2020-11-30/2020-12-06,Ath Madrid vs Valladolid,La_Liga,H,D,H,False,0-0,6.8,0.69,0.1,0.6,0.4,"ph=69%, home HT lead rate 60% at home"
2020-12-07/2020-12-13,Union Berlin vs Bayern Munich,Bundesliga,A,H,D,False,1-0,8.3,0.11,0.74,0.4,0.6,"pa=74%, away HT lead rate 60% away"
2020-12-14/2020-12-20,Ath Madrid vs Elche,La_Liga,H,H,H,True,1-0,8.9,0.79,0.05,0.5,0.4,"ph=79%, home HT lead rate 50% at home"
2020-12-21/2020-12-27,Roma vs Cagliari,Serie_A,H,H,H,True,1-0,8.2,0.73,0.1,0.83,0.14,"ph=73%, home HT lead rate 83% at home"
2020-12-28/2021-01-03,Bayern Munich vs Mainz,Bundesliga,H,A,H,False,0-2,9.8,0.87,0.04,0.5,0.17,"ph=87%, home HT lead rate 50% at home"
2021-01-04/2021-01-10,Granada vs Barcelona,La_Liga,A,A,A,True,0-3,7.7,0.14,0.68,0.12,0.5,"pa=68%, away HT lead rate 50% away"
2021-01-11/2021-01-17,Atalanta vs Genoa,Serie_A,H,D,D,False,0-0,10.1,0.78,0.08,0.5,0.0,"ph=78%, home HT lead rate 50% at home"
2021-01-18/2021-01-24,Juventus vs Bologna,Serie_A,H,H,H,True,1-0,7.7,0.68,0.12,0.5,0.0,"ph=68%, home HT lead rate 50% at home"
2021-01-25/2021-01-31,Bayern Munich vs Hoffenheim,Bundesliga,H,H,H,True,2-1,8.7,0.78,0.08,0.5,0.33,"ph=78%, home HT lead rate 50% at home"
2021-02-01/2021-02-07,Milan vs Crotone,Serie_A,H,H,H,True,1-0,8.1,0.78,0.07,0.4,0.0,"ph=78%, home HT lead rate 40% at home"
2021-02-08/2021-02-14,RB Leipzig vs Augsburg,Bundesliga,H,H,H,True,2-0,9.8,0.76,0.08,0.5,0.11,"ph=76%, home HT lead rate 50% at home"
2021-02-15/2021-02-21,Bayern Munich vs Bielefeld,Bundesliga,H,A,D,False,0-2,10.7,0.83,0.06,0.56,0.0,"ph=83%, home HT lead rate 56% at home"
2021-02-22/2021-02-28,Juventus vs Crotone,Serie_A,H,H,H,True,2-0,10.8,0.83,0.05,0.6,0.0,"ph=83%, home HT lead rate 60% at home"
2021-03-01/2021-03-07,Juventus vs Spezia,Serie_A,H,D,H,False,0-0,8.6,0.77,0.07,0.6,0.3,"ph=77%, home HT lead rate 60% at home"
2021-03-08/2021-03-14,Real Madrid vs Elche,La_Liga,H,D,H,False,0-0,10.4,0.81,0.06,0.5,0.1,"ph=81%, home HT lead rate 50% at home"
2021-03-15/2021-03-21,Juventus vs Benevento,Serie_A,H,D,A,False,0-0,9.2,0.82,0.06,0.5,0.3,"ph=82%, home HT lead rate 50% at home"
2021-03-29/2021-04-04,Napoli vs Crotone,Serie_A,H,H,H,True,3-1,10.2,0.79,0.07,0.6,0.0,"ph=79%, home HT lead rate 60% at home"
2021-04-05/2021-04-11,Inter vs Cagliari,Serie_A,H,D,H,False,0-0,9.9,0.77,0.08,0.6,0.1,"ph=77%, home HT lead rate 60% at home"
2021-04-12/2021-04-18,Lazio vs Benevento,Serie_A,H,H,H,True,3-1,6.7,0.68,0.12,0.5,0.3,"ph=68%, home HT lead rate 50% at home"
2021-04-19/2021-04-25,Barcelona vs Getafe,La_Liga,H,H,H,True,3-1,10.2,0.79,0.06,0.5,0.1,"ph=79%, home HT lead rate 50% at home"
2021-04-26/2021-05-02,Barcelona vs Granada,La_Liga,H,H,A,True,1-0,10.8,0.84,0.05,0.6,0.0,"ph=84%, home HT lead rate 60% at home"
2021-05-03/2021-05-09,Parma vs Atalanta,Serie_A,A,A,A,True,0-1,9.0,0.07,0.8,0.3,0.7,"pa=80%, away HT lead rate 70% away"
2021-05-10/2021-05-16,Ath Madrid vs Osasuna,La_Liga,H,D,H,False,0-0,10.1,0.78,0.07,0.5,0.1,"ph=78%, home HT lead rate 50% at home"
2021-05-17/2021-05-23,Bayern Munich vs Augsburg,Bundesliga,H,H,H,True,4-0,9.5,0.85,0.06,0.6,0.2,"ph=85%, home HT lead rate 60% at home"
2021-08-09/2021-08-15,FC Koln vs Hertha,Bundesliga,D,D,H,True,1-1,6.7,0.37,0.34,0.1,0.1,"tight match ph=37%/pa=34%, HT draw rate: home 80% away 70%"
2021-08-16/2021-08-22,Napoli vs Venezia,Serie_A,H,D,H,False,0-0,10.0,0.77,0.08,0.9,0.0,"ph=77%, home HT lead rate 90% at home"
2021-08-23/2021-08-29,Bayern Munich vs Hertha,Bundesliga,H,H,H,True,2-0,10.5,0.82,0.06,0.6,0.1,"ph=82%, home HT lead rate 60% at home"
2021-09-06/2021-09-12,Man United vs Newcastle,EPL,H,H,H,True,1-0,10.5,0.81,0.06,1.0,0.0,"ph=81%, home HT lead rate 100% at home"
2021-09-13/2021-09-19,Bayern Munich vs Bochum,Bundesliga,H,H,H,True,4-0,11.7,0.91,0.03,0.6,0.0,"ph=91%, home HT lead rate 60% at home"
2021-09-20/2021-09-26,Greuther Furth vs Bayern Munich,Bundesliga,A,A,A,True,0-2,11.4,0.04,0.88,0.0,0.6,"pa=88%, away HT lead rate 60% away"
2021-09-27/2021-10-03,Bayern Munich vs Ein Frankfurt,Bundesliga,H,D,A,False,1-1,9.1,0.81,0.07,0.7,0.4,"ph=81%, home HT lead rate 70% at home"
2021-10-11/2021-10-17,Man City vs Burnley,EPL,H,H,H,True,1-0,9.7,0.86,0.04,0.67,0.33,"ph=86%, home HT lead rate 67% at home"
2021-10-18/2021-10-24,Chelsea vs Norwich,EPL,H,H,H,True,3-0,10.5,0.82,0.05,0.75,0.0,"ph=82%, home HT lead rate 75% at home"
2021-10-25/2021-10-31,Man City vs Crystal Palace,EPL,H,A,A,False,0-1,10.9,0.85,0.04,0.75,0.0,"ph=85%, home HT lead rate 75% at home"
2021-11-01/2021-11-07,Bayern Munich vs Freiburg,Bundesliga,H,H,H,True,1-0,9.2,0.82,0.06,0.7,0.5,"ph=82%, home HT lead rate 70% at home"
2021-11-15/2021-11-21,Man City vs Everton,EPL,H,H,H,True,1-0,9.2,0.82,0.06,0.6,0.2,"ph=82%, home HT lead rate 60% at home"
2021-11-22/2021-11-28,Bayern Munich vs Bielefeld,Bundesliga,H,D,H,False,0-0,9.9,0.89,0.03,0.7,0.2,"ph=89%, home HT lead rate 70% at home"
2021-11-29/2021-12-05,Milan vs Salernitana,Serie_A,H,H,H,True,2-0,10.2,0.79,0.07,0.5,0.14,"ph=79%, home HT lead rate 50% at home"
2021-12-06/2021-12-12,Man City vs Wolves,EPL,H,D,H,False,0-0,10.7,0.83,0.05,0.71,0.14,"ph=83%, home HT lead rate 71% at home"
2021-12-13/2021-12-19,Liverpool vs Newcastle,EPL,H,H,H,True,2-1,11.1,0.86,0.04,0.62,0.12,"ph=86%, home HT lead rate 62% at home"
2021-12-20/2021-12-26,Juventus vs Cagliari,Serie_A,H,H,H,True,1-0,10.5,0.81,0.05,0.5,0.0,"ph=81%, home HT lead rate 50% at home"
2021-12-27/2022-01-02,Brentford vs Man City,EPL,A,A,A,True,0-1,9.2,0.06,0.82,0.25,0.56,"pa=82%, away HT lead rate 56% away"
2022-01-03/2022-01-09,Verona vs Salernitana,Serie_A,H,A,A,False,0-1,7.8,0.7,0.11,0.5,0.11,"ph=70%, home HT lead rate 50% at home"
2022-01-10/2022-01-16,FC Koln vs Bayern Munich,Bundesliga,A,A,A,True,0-2,9.1,0.12,0.71,0.0,0.6,"pa=71%, away HT lead rate 60% away"
2022-01-17/2022-01-23,Inter vs Venezia,Serie_A,H,D,H,False,1-1,11.2,0.87,0.04,0.7,0.1,"ph=87%, home HT lead rate 70% at home"
2022-01-31/2022-02-06,Roma vs Genoa,Serie_A,H,D,D,False,0-0,7.1,0.72,0.1,0.5,0.2,"ph=72%, home HT lead rate 50% at home"
2022-02-07/2022-02-13,Man City vs Brentford,EPL,H,H,H,True,1-0,9.7,0.87,0.04,0.6,0.2,"ph=87%, home HT lead rate 60% at home"
2022-02-14/2022-02-20,Liverpool vs Norwich,EPL,H,D,H,False,0-0,11.2,0.87,0.04,0.7,0.1,"ph=87%, home HT lead rate 70% at home"
2022-02-21/2022-02-27,Liverpool vs Leeds,EPL,H,H,H,True,3-0,9.4,0.84,0.05,0.7,0.2,"ph=84%, home HT lead rate 70% at home"
2022-02-28/2022-03-06,Inter vs Salernitana,Serie_A,H,H,H,True,2-0,9.2,0.82,0.05,0.6,0.2,"ph=82%, home HT lead rate 60% at home"
2022-03-07/2022-03-13,Dortmund vs Bielefeld,Bundesliga,H,H,H,True,1-0,8.5,0.76,0.08,0.6,0.2,"ph=76%, home HT lead rate 60% at home"
2022-03-14/2022-03-20,Juventus vs Salernitana,Serie_A,H,H,H,True,2-0,9.1,0.81,0.06,0.6,0.2,"ph=81%, home HT lead rate 60% at home"
2022-03-28/2022-04-03,Burnley vs Man City,EPL,A,A,A,True,0-2,10.2,0.06,0.79,0.1,0.6,"pa=79%, away HT lead rate 60% away"
2022-04-04/2022-04-10,Bayern Munich vs Augsburg,Bundesliga,H,D,H,False,0-0,11.1,0.86,0.04,0.5,0.1,"ph=86%, home HT lead rate 50% at home"
2022-04-11/2022-04-17,Bielefeld vs Bayern Munich,Bundesliga,A,A,A,True,0-2,10.5,0.06,0.81,0.1,0.5,"pa=81%, away HT lead rate 50% away"
2022-04-18/2022-04-24,Liverpool vs Everton,EPL,H,D,H,False,0-0,10.6,0.82,0.05,0.8,0.1,"ph=82%, home HT lead rate 80% at home"
2022-04-25/2022-05-01,Juventus vs Venezia,Serie_A,H,H,H,True,1-0,10.4,0.8,0.06,0.7,0.0,"ph=80%, home HT lead rate 70% at home"
2022-05-02/2022-05-08,Inter vs Empoli,Serie_A,H,D,H,False,2-2,9.5,0.84,0.05,0.6,0.2,"ph=84%, home HT lead rate 60% at home"
2022-05-09/2022-05-15,Bielefeld vs RB Leipzig,Bundesliga,A,D,D,False,0-0,9.8,0.09,0.76,0.1,0.5,"pa=76%, away HT lead rate 50% away"
2022-05-16/2022-05-22,Inter vs Sampdoria,Serie_A,H,D,H,False,0-0,9.6,0.86,0.04,0.5,0.2,"ph=86%, home HT lead rate 50% at home"
2022-08-01/2022-08-07,Tottenham vs Southampton,EPL,H,H,H,True,2-1,8.0,0.71,0.11,0.6,0.1,"ph=71%, home HT lead rate 60% at home"
2022-08-08/2022-08-14,Man City vs Bournemouth,EPL,H,H,H,True,3-0,11.7,0.91,0.02,0.6,0.0,"ph=91%, home HT lead rate 60% at home"
2022-08-15/2022-08-21,Liverpool vs Crystal Palace,EPL,H,A,D,False,0-1,9.1,0.81,0.05,0.6,0.3,"ph=81%, home HT lead rate 60% at home"
2022-08-22/2022-08-28,Liverpool vs Bournemouth,EPL,H,H,H,True,5-0,11.1,0.86,0.04,0.5,0.0,"ph=86%, home HT lead rate 50% at home"
2022-08-29/2022-09-04,Man City vs Nott'm Forest,EPL,H,H,H,True,3-0,11.6,0.9,0.03,0.6,0.0,"ph=90%, home HT lead rate 60% at home"
2022-09-05/2022-09-11,Bayern Munich vs Stuttgart,Bundesliga,H,H,D,True,1-0,10.7,0.83,0.06,0.5,0.1,"ph=83%, home HT lead rate 50% at home"
2022-09-12/2022-09-18,Barcelona vs Elche,La_Liga,H,H,H,True,2-0,9.8,0.87,0.04,0.5,0.2,"ph=87%, home HT lead rate 50% at home"
2022-09-26/2022-10-02,RB Leipzig vs Bochum,Bundesliga,H,H,H,True,2-0,8.7,0.78,0.09,0.5,0.2,"ph=78%, home HT lead rate 50% at home"
2022-10-03/2022-10-09,Man City vs Southampton,EPL,H,H,H,True,2-0,11.1,0.86,0.05,0.7,0.0,"ph=86%, home HT lead rate 70% at home"
2022-10-10/2022-10-16,Napoli vs Bologna,Serie_A,H,D,H,False,1-1,9.9,0.77,0.07,0.5,0.1,"ph=77%, home HT lead rate 50% at home"
2022-10-17/2022-10-23,Man City vs Brighton,EPL,H,H,H,True,2-0,9.0,0.8,0.06,0.7,0.6,"ph=80%, home HT lead rate 70% at home"
2022-10-24/2022-10-30,Arsenal vs Nott'm Forest,EPL,H,H,H,True,1-0,10.5,0.81,0.06,0.6,0.0,"ph=81%, home HT lead rate 60% at home"
2022-10-31/2022-11-06,Man City vs Fulham,EPL,H,D,H,False,1-1,11.1,0.86,0.04,0.7,0.0,"ph=86%, home HT lead rate 70% at home"
2022-11-07/2022-11-13,Real Madrid vs Cadiz,La_Liga,H,H,H,True,1-0,10.9,0.85,0.04,0.6,0.0,"ph=85%, home HT lead rate 60% at home"
2022-12-26/2023-01-01,Barcelona vs Espanol,La_Liga,H,H,D,True,1-0,9.9,0.77,0.08,0.7,0.0,"ph=77%, home HT lead rate 70% at home"
2023-01-02/2023-01-08,Man United vs Bournemouth,EPL,H,H,H,True,1-0,7.3,0.75,0.09,0.6,0.25,"ph=75%, home HT lead rate 60% at home"
2023-01-09/2023-01-15,Inter vs Verona,Serie_A,H,H,H,True,1-0,7.3,0.75,0.1,0.5,0.2,"ph=75%, home HT lead rate 50% at home"
2023-01-16/2023-01-22,Barcelona vs Getafe,La_Liga,H,H,H,True,1-0,9.2,0.82,0.05,0.7,0.2,"ph=82%, home HT lead rate 70% at home"
2023-01-23/2023-01-29,Bayern Munich vs FC Koln,Bundesliga,H,A,D,False,0-1,8.9,0.79,0.08,0.8,0.2,"ph=79%, home HT lead rate 80% at home"
2023-01-30/2023-02-05,Spezia vs Napoli,Serie_A,A,D,A,False,0-0,7.9,0.11,0.71,0.4,0.5,"pa=71%, away HT lead rate 50% away"
2023-02-06/2023-02-12,Bayern Munich vs Bochum,Bundesliga,H,H,H,True,1-0,10.9,0.84,0.06,0.8,0.0,"ph=84%, home HT lead rate 80% at home"
2023-02-13/2023-02-19,Barcelona vs Cadiz,La_Liga,H,H,H,True,2-0,10.3,0.8,0.07,0.7,0.1,"ph=80%, home HT lead rate 70% at home"
2023-02-20/2023-02-26,Bayern Munich vs Union Berlin,Bundesliga,H,H,H,True,3-0,7.1,0.73,0.1,0.8,0.3,"ph=73%, home HT lead rate 80% at home"
2023-02-27/2023-03-05,Arsenal vs Bournemouth,EPL,H,A,H,False,0-1,7.1,0.79,0.07,0.4,0.2,"ph=79%, home HT lead rate 40% at home"
2023-03-06/2023-03-12,Real Madrid vs Espanol,La_Liga,H,H,H,True,2-1,9.8,0.76,0.08,0.5,0.0,"ph=76%, home HT lead rate 50% at home"
2023-03-13/2023-03-19,Milan vs Salernitana,Serie_A,H,H,D,True,1-0,8.5,0.76,0.08,0.5,0.2,"ph=76%, home HT lead rate 50% at home"
2023-03-27/2023-04-02,Real Madrid vs Valladolid,La_Liga,H,H,H,True,4-0,10.3,0.8,0.07,0.6,0.1,"ph=80%, home HT lead rate 60% at home"
2023-04-03/2023-04-09,Milan vs Empoli,Serie_A,H,D,D,False,0-0,6.8,0.7,0.11,0.6,0.3,"ph=70%, home HT lead rate 60% at home"
2023-04-10/2023-04-16,Man City vs Leicester,EPL,H,H,H,True,3-0,9.3,0.83,0.06,0.6,0.4,"ph=83%, home HT lead rate 60% at home"
2023-04-17/2023-04-23,Liverpool vs Nott'm Forest,EPL,H,D,H,False,0-0,10.5,0.81,0.06,0.5,0.1,"ph=81%, home HT lead rate 50% at home"
2023-04-24/2023-04-30,Bayern Munich vs Hertha,Bundesliga,H,D,H,False,0-0,11.1,0.86,0.05,0.9,0.0,"ph=86%, home HT lead rate 90% at home"
