week,match,league,pick,actual_ht,actual_ft,ht_correct,ht_score,confidence,pin_prob_h,pin_prob_a,h_ht_lead,a_ht_lead,reason
2023-05-01/2023-05-07,Barcelona vs Osasuna,La_Liga,H,D,H,False,0-0,9.2,0.82,0.05,0.6,0.3,"ph=82%, home HT lead rate 60% at home"
2023-05-08/2023-05-14,Bayern Munich vs Schalke 04,Bundesliga,H,H,H,True,2-0,9.5,0.85,0.06,0.8,0.2,"ph=85%, home HT lead rate 80% at home"
2023-05-15/2023-05-21,Milan vs Sampdoria,Serie_A,H,H,H,True,3-1,10.4,0.81,0.06,0.5,0.1,"ph=81%, home HT lead rate 50% at home"
2023-05-22/2023-05-28,Dortmund vs Mainz,Bundesliga,H,A,D,False,0-2,9.4,0.84,0.06,0.8,0.3,"ph=84%, home HT lead rate 80% at home"
2023-05-29/2023-06-04,Betis vs Valencia,La_Liga,D,H,D,False,1-0,5.2,0.34,0.39,0.3,0.2,"tight match ph=34%/pa=39%, HT draw rate: home 70% away 50%"
2023-08-07/2023-08-13,Burnley vs Man City,EPL,A,A,A,True,0-2,9.2,0.11,0.71,0.1,0.5,"pa=71%, away HT lead rate 50% away"
2023-08-14/2023-08-20,Barcelona vs Cadiz,La_Liga,H,D,H,False,0-0,10.3,0.8,0.06,0.5,0.1,"ph=80%, home HT lead rate 50% at home"
2023-08-21/2023-08-27,Bayern Munich vs Augsburg,Bundesliga,H,H,H,True,2-0,11.5,0.89,0.04,0.8,0.1,"ph=89%, home HT lead rate 80% at home"
2023-08-28/2023-09-03,Leverkusen vs Darmstadt,Bundesliga,H,D,H,False,1-1,10.4,0.81,0.07,0.6,0.0,"ph=81%, home HT lead rate 60% at home"
2023-09-11/2023-09-17,RB Leipzig vs Augsburg,Bundesliga,H,H,H,True,3-0,10.0,0.78,0.09,0.6,0.1,"ph=78%, home HT lead rate 60% at home"
2023-09-18/2023-09-24,Bayern Munich vs Bochum,Bundesliga,H,H,H,True,4-0,11.3,0.88,0.05,0.8,0.1,"ph=88%, home HT lead rate 80% at home"
2023-09-25/2023-10-01,Real Madrid vs Las Palmas,La_Liga,H,H,H,True,1-0,10.3,0.8,0.07,0.5,0.0,"ph=80%, home HT lead rate 50% at home"
2023-10-02/2023-10-08,RB Leipzig vs Bochum,Bundesliga,H,D,D,False,0-0,9.9,0.77,0.09,0.6,0.1,"ph=77%, home HT lead rate 60% at home"
2023-10-16/2023-10-22,Mainz vs Bayern Munich,Bundesliga,A,A,A,True,1-2,8.5,0.1,0.76,0.3,0.5,"pa=76%, away HT lead rate 50% away"
2023-10-23/2023-10-29,Bayern Munich vs Darmstadt,Bundesliga,H,D,H,False,0-0,11.7,0.9,0.04,0.8,0.0,"ph=90%, home HT lead rate 80% at home"
2023-10-30/2023-11-05,Man City vs Bournemouth,EPL,H,H,H,True,3-0,11.5,0.89,0.03,0.8,0.1,"ph=89%, home HT lead rate 80% at home"
2023-11-06/2023-11-12,Bayern Munich vs Heidenheim,Bundesliga,H,H,H,True,2-0,11.8,0.91,0.03,0.7,0.0,"ph=91%, home HT lead rate 70% at home"
2023-11-20/2023-11-26,FC Koln vs Bayern Munich,Bundesliga,A,A,A,True,0-1,8.6,0.09,0.77,0.2,0.6,"pa=77%, away HT lead rate 60% away"
2023-11-27/2023-12-03,Real Madrid vs Granada,La_Liga,H,H,H,True,1-0,10.7,0.83,0.07,0.5,0.0,"ph=83%, home HT lead rate 50% at home"
2023-12-04/2023-12-10,Ath Madrid vs Almeria,La_Liga,H,H,H,True,2-0,10.4,0.8,0.07,0.7,0.0,"ph=80%, home HT lead rate 70% at home"
2023-12-11/2023-12-17,Man City vs Crystal Palace,EPL,H,H,D,True,1-0,9.2,0.82,0.06,0.9,0.2,"ph=82%, home HT lead rate 90% at home"
2023-12-18/2023-12-24,Leverkusen vs Bochum,Bundesliga,H,H,H,True,3-0,10.5,0.81,0.07,0.7,0.0,"ph=81%, home HT lead rate 70% at home"
2023-12-25/2023-12-31,Man City vs Sheffield United,EPL,H,H,H,True,1-0,11.6,0.9,0.03,1.0,0.0,"ph=90%, home HT lead rate 100% at home"
2024-01-01/2024-01-07,Inter vs Verona,Serie_A,H,H,H,True,1-0,10.6,0.82,0.06,0.9,0.0,"ph=82%, home HT lead rate 90% at home"
2024-01-08/2024-01-14,Bayern Munich vs Hoffenheim,Bundesliga,H,H,H,True,1-0,9.4,0.84,0.06,0.7,0.5,"ph=84%, home HT lead rate 70% at home"
2024-01-15/2024-01-21,Bayern Munich vs Werder Bremen,Bundesliga,H,D,A,False,0-0,11.3,0.87,0.05,0.8,0.0,"ph=87%, home HT lead rate 80% at home"
2024-01-22/2024-01-28,Bayern Munich vs Union Berlin,Bundesliga,H,D,H,False,0-0,9.4,0.83,0.06,0.7,0.2,"ph=83%, home HT lead rate 70% at home"
2024-01-29/2024-02-04,Man City vs Burnley,EPL,H,H,H,True,2-0,9.8,0.87,0.05,1.0,0.3,"ph=87%, home HT lead rate 100% at home"
2024-02-05/2024-02-11,Man City vs Everton,EPL,H,D,H,False,0-0,10.4,0.8,0.07,1.0,0.1,"ph=80%, home HT lead rate 100% at home"
2024-02-12/2024-02-18,Inter vs Salernitana,Serie_A,H,H,H,True,3-0,9.4,0.84,0.06,0.9,0.2,"ph=84%, home HT lead rate 90% at home"
2024-02-19/2024-02-25,Leverkusen vs Mainz,Bundesliga,H,D,H,False,1-1,9.9,0.77,0.08,0.7,0.1,"ph=77%, home HT lead rate 70% at home"
2024-02-26/2024-03-03,Man City vs Man United,EPL,H,A,H,False,0-1,8.5,0.75,0.1,0.7,0.4,"ph=75%, home HT lead rate 70% at home"
2024-03-04/2024-03-10,RB Leipzig vs Darmstadt,Bundesliga,H,H,H,True,1-0,10.8,0.83,0.06,0.6,0.0,"ph=83%, home HT lead rate 60% at home"
2024-03-11/2024-03-17,Darmstadt vs Bayern Munich,Bundesliga,A,A,A,True,1-2,10.9,0.06,0.84,0.0,0.5,"pa=84%, away HT lead rate 50% away"
2024-03-25/2024-03-31,Leverkusen vs Hoffenheim,Bundesliga,H,A,H,False,0-1,8.9,0.79,0.08,0.7,0.4,"ph=79%, home HT lead rate 70% at home"
2024-04-01/2024-04-07,Arsenal vs Luton,EPL,H,H,H,True,2-0,9.8,0.87,0.05,0.5,0.4,"ph=87%, home HT lead rate 50% at home"
2024-04-08/2024-04-14,Inter vs Cagliari,Serie_A,H,H,D,True,1-0,10.5,0.81,0.07,1.0,0.1,"ph=81%, home HT lead rate 100% at home"
2024-04-15/2024-04-21,Ath Bilbao vs Granada,La_Liga,H,D,D,False,1-1,9.8,0.76,0.08,0.5,0.0,"ph=76%, home HT lead rate 50% at home"
2024-04-22/2024-04-28,Newcastle vs Sheffield United,EPL,H,D,H,False,1-1,6.9,0.77,0.09,0.4,0.2,"ph=77%, home HT lead rate 40% at home"
2024-04-29/2024-05-05,Man City vs Wolves,EPL,H,H,H,True,3-0,10.0,0.89,0.04,0.5,0.3,"ph=89%, home HT lead rate 50% at home"
2024-05-06/2024-05-12,RB Leipzig vs Werder Bremen,Bundesliga,H,A,D,False,0-1,8.3,0.74,0.11,0.7,0.1,"ph=74%, home HT lead rate 70% at home"
2024-05-13/2024-05-19,Arsenal vs Everton,EPL,H,D,H,False,1-1,10.6,0.82,0.06,0.5,0.0,"ph=82%, home HT lead rate 50% at home"
2024-05-20/2024-05-26,Milan vs Salernitana,Serie_A,H,H,D,True,2-0,10.5,0.82,0.07,0.5,0.1,"ph=82%, home HT lead rate 50% at home"
2024-08-12/2024-08-18,Arsenal vs Wolves,EPL,H,H,H,True,1-0,9.3,0.83,0.06,0.5,0.3,"ph=83%, home HT lead rate 50% at home"
2024-08-19/2024-08-25,Man City vs Ipswich,EPL,H,H,H,True,3-1,11.5,0.89,0.04,0.5,0.0,"ph=89%, home HT lead rate 50% at home"
2024-08-26/2024-09-01,West Ham vs Man City,EPL,A,A,A,True,1-2,7.9,0.13,0.7,0.3,0.6,"pa=70%, away HT lead rate 60% away"
2024-09-09/2024-09-15,Holstein Kiel vs Bayern Munich,Bundesliga,A,A,A,True,0-4,10.2,0.08,0.79,0.0,0.6,"pa=79%, away HT lead rate 60% away"
2024-09-16/2024-09-22,Werder Bremen vs Bayern Munich,Bundesliga,A,A,A,True,0-2,7.9,0.12,0.71,0.2,0.6,"pa=71%, away HT lead rate 60% away"
2024-09-23/2024-09-29,Arsenal vs Leicester,EPL,H,H,H,True,2-0,10.5,0.82,0.07,0.6,0.1,"ph=82%, home HT lead rate 60% at home"
2024-09-30/2024-10-06,Leverkusen vs Holstein Kiel,Bundesliga,H,H,D,True,2-1,11.5,0.89,0.04,0.5,0.0,"ph=89%, home HT lead rate 50% at home"
2024-10-14/2024-10-20,Wolves vs Man City,EPL,A,D,A,False,1-1,8.2,0.11,0.73,0.4,0.8,"pa=73%, away HT lead rate 80% away"
2024-10-21/2024-10-27,Stuttgart vs Holstein Kiel,Bundesliga,H,H,H,True,1-0,10.1,0.78,0.09,0.7,0.0,"ph=78%, home HT lead rate 70% at home"
2024-10-28/2024-11-03,Barcelona vs Espanol,La_Liga,H,H,H,True,3-0,9.7,0.87,0.05,0.6,0.2,"ph=87%, home HT lead rate 60% at home"
2024-11-04/2024-11-10,St Pauli vs Bayern Munich,Bundesliga,A,A,A,True,0-1,10.2,0.08,0.79,0.0,0.8,"pa=79%, away HT lead rate 80% away"
2024-11-18/2024-11-24,Leverkusen vs Heidenheim,Bundesliga,H,D,H,False,2-2,10.4,0.81,0.07,0.5,0.1,"ph=81%, home HT lead rate 50% at home"
2024-11-25/2024-12-01,Barcelona vs Las Palmas,La_Liga,H,D,A,False,0-0,10.7,0.83,0.07,0.6,0.1,"ph=83%, home HT lead rate 60% at home"
2024-12-02/2024-12-08,Inter vs Parma,Serie_A,H,H,H,True,1-0,9.2,0.82,0.07,0.5,0.2,"ph=82%, home HT lead rate 50% at home"
2024-12-09/2024-12-15,Barcelona vs Leganes,La_Liga,H,A,A,False,0-1,9.4,0.84,0.05,0.6,0.25,"ph=84%, home HT lead rate 60% at home"
2024-12-16/2024-12-22,Atalanta vs Empoli,Serie_A,H,H,H,True,2-1,8.4,0.75,0.09,0.6,0.5,"ph=75%, home HT lead rate 60% at home"
2024-12-23/2024-12-29,Liverpool vs Leicester,EPL,H,D,H,False,1-1,11.5,0.89,0.04,0.7,0.1,"ph=89%, home HT lead rate 70% at home"
2024-12-30/2025-01-05,Liverpool vs Man United,EPL,H,D,D,False,0-0,8.3,0.74,0.1,0.6,0.1,"ph=74%, home HT lead rate 60% at home"
2025-01-06/2025-01-12,Milan vs Cagliari,Serie_A,H,D,D,False,0-0,8.2,0.73,0.1,0.5,0.1,"ph=73%, home HT lead rate 50% at home"
2025-01-13/2025-01-19,Real Madrid vs Las Palmas,La_Liga,H,H,H,True,3-1,10.8,0.83,0.06,0.5,0.1,"ph=83%, home HT lead rate 50% at home"
2025-01-20/2025-01-26,Barcelona vs Valencia,La_Liga,H,H,H,True,5-0,10.1,0.79,0.08,0.7,0.1,"ph=79%, home HT lead rate 70% at home"
2025-01-27/2025-02-02,Bayern Munich vs Holstein Kiel,Bundesliga,H,H,H,True,2-0,11.9,0.92,0.02,0.7,0.11,"ph=92%, home HT lead rate 70% at home"
2025-02-03/2025-02-09,Bayern Munich vs Werder Bremen,Bundesliga,H,D,H,False,0-0,11.3,0.88,0.05,0.7,0.1,"ph=88%, home HT lead rate 70% at home"
2025-02-10/2025-02-16,Liverpool vs Wolves,EPL,H,H,H,True,2-0,9.1,0.81,0.08,0.5,0.2,"ph=81%, home HT lead rate 50% at home"
2025-02-17/2025-02-23,Ath Bilbao vs Valladolid,La_Liga,H,H,H,True,4-0,10.5,0.82,0.05,0.6,0.0,"ph=82%, home HT lead rate 60% at home"
2025-02-24/2025-03-02,Chelsea vs Southampton,EPL,H,H,H,True,3-0,10.7,0.83,0.07,0.5,0.1,"ph=83%, home HT lead rate 50% at home"
2025-03-03/2025-03-09,Liverpool vs Southampton,EPL,H,A,H,False,0-1,11.1,0.86,0.05,0.6,0.1,"ph=86%, home HT lead rate 60% at home"
2025-03-10/2025-03-16,Union Berlin vs Bayern Munich,Bundesliga,A,D,D,False,0-0,6.4,0.11,0.71,0.3,0.4,"pa=71%, away HT lead rate 40% away"
2025-03-24/2025-03-30,Bayern Munich vs St Pauli,Bundesliga,H,D,H,False,1-1,9.4,0.84,0.06,0.8,0.4,"ph=84%, home HT lead rate 80% at home"
2025-03-31/2025-04-06,Man City vs Leicester,EPL,H,H,H,True,2-0,10.3,0.8,0.08,0.6,0.0,"ph=80%, home HT lead rate 60% at home"
2025-04-07/2025-04-13,Chelsea vs Ipswich,EPL,H,A,D,False,0-2,8.6,0.77,0.09,0.5,0.4,"ph=77%, home HT lead rate 50% at home"
2025-04-14/2025-04-20,Monza vs Napoli,Serie_A,A,D,A,False,0-0,9.8,0.07,0.76,0.1,0.6,"pa=76%, away HT lead rate 60% away"
2025-04-21/2025-04-27,Barcelona vs Mallorca,La_Liga,H,D,H,False,0-0,10.1,0.78,0.08,0.6,0.1,"ph=78%, home HT lead rate 60% at home"
2025-04-28/2025-05-04,Real Madrid vs Celta,La_Liga,H,H,H,True,2-0,7.9,0.7,0.13,0.6,0.0,"ph=70%, home HT lead rate 60% at home"
2025-05-05/2025-05-11,Bayern Munich vs M'gladbach,Bundesliga,H,H,H,True,1-0,9.3,0.83,0.08,0.7,0.5,"ph=83%, home HT lead rate 70% at home"
2025-05-12/2025-05-18,Dortmund vs Holstein Kiel,Bundesliga,H,H,H,True,1-0,9.9,0.88,0.05,0.6,0.5,"ph=88%, home HT lead rate 60% at home"
2025-05-19/2025-05-25,Napoli vs Cagliari,Serie_A,H,H,H,True,1-0,9.0,0.8,0.06,0.5,0.2,"ph=80%, home HT lead rate 50% at home"
2025-08-11/2025-08-17,Villarreal vs Oviedo,La_Liga,H,H,H,True,2-0,7.7,0.69,0.11,0.6,0.0,"ph=69%, home HT lead rate 60% at home"
2025-08-18/2025-08-24,Real Madrid vs Osasuna,La_Liga,H,D,H,False,0-0,10.1,0.78,0.08,0.5,0.1,"ph=78%, home HT lead rate 50% at home"
2025-08-25/2025-08-31,Inter vs Udinese,Serie_A,H,A,A,False,1-2,8.2,0.73,0.1,0.5,0.1,"ph=73%, home HT lead rate 50% at home"
2025-09-08/2025-09-14,Bayern Munich vs Hamburg,Bundesliga,H,H,H,True,4-0,11.6,0.9,0.03,0.7,0.0,"ph=90%, home HT lead rate 70% at home"
2025-09-15/2025-09-21,Barcelona vs Getafe,La_Liga,H,H,H,True,2-0,10.0,0.78,0.07,0.7,0.1,"ph=78%, home HT lead rate 70% at home"
2025-09-22/2025-09-28,Bayern Munich vs Werder Bremen,Bundesliga,H,H,H,True,2-0,9.9,0.89,0.04,0.7,0.5,"ph=89%, home HT lead rate 70% at home"
2025-09-29/2025-10-05,Inter vs Cremonese,Serie_A,H,H,H,True,2-0,10.2,0.79,0.08,0.6,0.0,"ph=79%, home HT lead rate 60% at home"
2025-10-13/2025-10-19,Barcelona vs Girona,La_Liga,H,D,H,False,1-1,9.3,0.83,0.06,0.6,0.2,"ph=83%, home HT lead rate 60% at home"
2025-10-20/2025-10-26,M'gladbach vs Bayern Munich,Bundesliga,A,D,A,False,0-0,10.1,0.08,0.78,0.1,0.5,"pa=78%, away HT lead rate 50% away"
2025-10-27/2025-11-02,Barcelona vs Elche,La_Liga,H,H,H,True,2-1,9.8,0.76,0.07,0.5,0.0,"ph=76%, home HT lead rate 50% at home"
2025-11-03/2025-11-09,Union Berlin vs Bayern Munich,Bundesliga,A,D,D,False,1-1,8.9,0.08,0.79,0.2,0.5,"pa=79%, away HT lead rate 50% away"
2025-11-17/2025-11-23,Bayern Munich vs Freiburg,Bundesliga,H,D,H,False,2-2,10.4,0.81,0.06,0.8,0.1,"ph=81%, home HT lead rate 80% at home"
2025-11-24/2025-11-30,Barcelona vs Alaves,La_Liga,H,H,H,True,2-1,10.4,0.8,0.07,0.6,0.1,"ph=80%, home HT lead rate 60% at home"
2025-12-01/2025-12-07,Man City vs Sunderland,EPL,H,H,H,True,2-0,9.9,0.77,0.09,0.6,0.14,"ph=77%, home HT lead rate 60% at home"
2025-12-08/2025-12-14,Arsenal vs Wolves,EPL,H,D,H,False,0-0,10.9,0.84,0.05,0.8,0.0,"ph=84%, home HT lead rate 80% at home"
2025-12-15/2025-12-21,Heidenheim vs Bayern Munich,Bundesliga,A,A,A,True,0-2,11.0,0.06,0.85,0.1,0.6,"pa=85%, away HT lead rate 60% away"
2025-12-22/2025-12-28,Liverpool vs Wolves,EPL,H,H,H,True,2-0,10.1,0.78,0.08,0.5,0.0,"ph=78%, home HT lead rate 50% at home"
2025-12-29/2026-01-04,Man United vs Wolves,EPL,H,D,D,False,1-1,7.9,0.7,0.12,0.6,0.0,"ph=70%, home HT lead rate 60% at home"
2026-01-05/2026-01-11,Bayern Munich vs Wolfsburg,Bundesliga,H,H,H,True,2-1,9.8,0.87,0.05,0.7,0.3,"ph=87%, home HT lead rate 70% at home"
2026-01-12/2026-01-18,Inter vs Lecce,Serie_A,H,D,H,False,0-0,9.5,0.85,0.05,0.6,0.4,"ph=85%, home HT lead rate 60% at home"
